Algoritmo,Predictor,BlockSize,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
LZW_P1_B128,1,128,46.09,79.1,8.429,2.61,S2-16D_V2_001014_20260728,B07
LZW_P1_B256,1,256,45.39,79.42,4.78,2.417,S2-16D_V2_001014_20260728,B07
LZW_P1_B512,1,512,45.26,79.47,6.602,3.593,S2-16D_V2_001014_20260728,B07
LZW_P2_B128,2,128,42.15,80.89,6.786,3.179,S2-16D_V2_001014_20260728,B07
LZW_P2_B256,2,256,41.33,81.26,6.492,1.119,S2-16D_V2_001014_20260728,B07
LZW_P2_B512,2,512,41.0,81.41,3.509,2.663,S2-16D_V2_001014_20260728,B07
RAW_SemComp,0,256,220.51,0.0,0.0,2.216,S2-16D_V2_001014_20260728,B8A
LZW_P1_B128,1,128,46.44,78.94,4.132,3.782,S2-16D_V2_001014_20260728,B8A
LZW_P1_B256,1,256,45.75,79.25,4.998,2.272,S2-16D_V2_001014_20260728,B8A
LZW_P1_B512,1,512,45.63,79.31,6.407,1.705,S2-16D_V2_001014_20260728,B8A
LZW_P2_B128,2,128,42.25,80.84,6.912,2.702,S2-16D_V2_001014_20260728,B8A
LZW_P2_B256,2,256,41.43,81.21,9.869,2.044,S2-16D_V2_001014_20260728,B8A
LZW_P2_B512,2,512,41.1,81.36,4.094,1.852,S2-16D_V2_001014_20260728,B8A
RAW_SemComp,0,256,220.51,0.0,0.0,1.203,S2-16D_V2_002011_20260728,B08
LZW_P1_B128,1,128,77.54,64.84,5.09,1.643,S2-16D_V2_002011_20260728,B08
LZW_P1_B256,1,256,77.61,64.8,4.559,2.506,S2-16D_V2_002011_20260728,B08
LZW_P1_B512,1,512,78.04,64.61,8.832,1.771,S2-16D_V2_002011_20260728,B08
LZW_P2_B128,2,128,68.3,69.03,4.788,1.618,S2-16D_V2_002011_20260728,B08
LZW_P2_B256,2,256,67.31,69.48,3.359,2.295,S2-16D_V2_002011_20260728,B08
LZW_P2_B512,2,512,66.95,69.64,5.924,4.589,S2-16D_V2_002011_20260728,B08
RAW_SemComp,0,256,110.26,0.0,0.0,0.677,S2-16D_V2_002012_20260728,SCL
LZW_P1_B128,1,128,1.8,98.36,1.139,0.397,S2-16D_V2_002012_20260728,SCL
LZW_P1_B256,1,256,1.19,98.92,0.883,0.576,S2-16D_V2_002012_20260728,SCL
LZW_P1_B512,1,512,0.9,99.18,0.877,0.234,S2-16D_V2_002012_20260728,SCL
LZW_P2_B128,2,128,2.86,97.4,3.48,1.999,S2-16D_V2_002012_20260728,SCL
LZW_P2_B256,2,256,1.77,98.4,1.959,0.333,S2-16D_V2_002012_20260728,SCL
LZW_P2_B512,2,512,1.22,98.89,0.821,0.444,S2-16D_V2_002012_20260728,SCL
RAW_SemComp,0,256,220.51,0.0,0.0,0.778,S2-16D_V2_002012_20260728,B03
LZW_P1_B128,1,128,138.76,37.08,6.08,2.996,S2-16D_V2_002012_20260728,B03
LZW_P1_B256,1,256,139.23,36.86,6.022,6.705,S2-16D_V2_002012_20260728,B03
LZW_P1_B512,1,512,140.04,36.49,15.901,6.879,S2-16D_V2_002012_20260728,B03
LZW_P2_B128,2,128,135.61,38.5,9.648,4.066,S2-16D_V2_002012_20260728,B03
LZW_P2_B256,2,256,134.95,38.8,13.002,6.644,S2-16D_V2_002012_20260728,B03
LZW_P2_B512,2,512,134.75,38.89,12.839,6.887,S2-16D_V2_002012_20260728,B03
RAW_SemComp,0,256,220.51,0.0,0.0,0.546,S2-16D_V2_002011_20260728,B11
LZW_P1_B128,1,128,69.43,68.51,8.181,5.411,S2-16D_V2_002011_20260728,B11
LZW_P1_B256,1,256,69.66,68.41,9.933,1.259,S2-16D_V2_002011_20260728,B11
LZW_P1_B512,1,512,70.29,68.12,9.913,5.284,S2-16D_V2_002011_20260728,B11
