Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
ZSTD_L07_P2,7,2,54.56,75.26,1.271,1.219,S2-16D_V2_002011_20260728,NDVI
ZSTD_L09_P2,9,2,54.56,75.26,4.458,0.577,S2-16D_V2_002011_20260728,NDVI
ZSTD_L11_P2,11,2,54.56,75.26,2.177,0.568,S2-16D_V2_002011_20260728,NDVI
ZSTD_L13_P2,13,2,54.33,75.36,5.454,0.606,S2-16D_V2_002011_20260728,NDVI
ZSTD_L15_P2,15,2,54.33,75.36,7.272,0.661,S2-16D_V2_002011_20260728,NDVI
RAW_SemComp,0,0,220.51,0.0,0.0,0.556,S2-16D_V2_001014_20260728,NBR
ZSTD_L01_P2,1,2,34.44,84.38,0.604,3.195,S2-16D_V2_001014_20260728,NBR
ZSTD_L03_P2,3,2,33.89,84.63,1.925,0.721,S2-16D_V2_001014_20260728,NBR
ZSTD_L05_P2,5,2,33.4,84.85,1.869,0.573,S2-16D_V2_001014_20260728,NBR
ZSTD_L07_P2,7,2,33.39,84.86,3.095,0.668,S2-16D_V2_001014_20260728,NBR
ZSTD_L09_P2,9,2,33.39,84.86,1.541,0.497,S2-16D_V2_001014_20260728,NBR
ZSTD_L11_P2,11,2,33.39,84.86,2.427,0.549,S2-16D_V2_001014_20260728,NBR
ZSTD_L13_P2,13,2,33.32,84.89,4.341,0.619,S2-16D_V2_001014_20260728,NBR
ZSTD_L15_P2,15,2,33.32,84.89,5.277,0.531,S2-16D_V2_001014_20260728,NBR
RAW_SemComp,0,0,220.51,0.0,0.0,0.44,S2-16D_V2_001014_20260728,B06
ZSTD_L01_P2,1,2,34.41,84.4,0.417,0.59,S2-16D_V2_001014_20260728,B06
ZSTD_L03_P2,3,2,33.92,84.62,0.857,0.57,S2-16D_V2_001014_20260728,B06
ZSTD_L05_P2,5,2,33.45,84.83,1.194,0.536,S2-16D_V2_001014_20260728,B06
ZSTD_L07_P2,7,2,33.44,84.84,1.317,0.595,S2-16D_V2_001014_20260728,B06
ZSTD_L09_P2,9,2,33.43,84.84,1.608,0.583,S2-16D_V2_001014_20260728,B06
ZSTD_L11_P2,11,2,33.43,84.84,2.738,0.566,S2-16D_V2_001014_20260728,B06
ZSTD_L13_P2,13,2,33.36,84.87,4.475,0.6,S2-16D_V2_001014_20260728,B06
ZSTD_L15_P2,15,2,33.36,84.87,9.438,0.589,S2-16D_V2_001014_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.644,S2-16D_V2_002012_20260728,B12
ZSTD_L01_P2,1,2,108.49,50.8,1.239,1.83,S2-16D_V2_002012_20260728,B12
ZSTD_L03_P2,3,2,98.35,55.4,5.464,0.8,S2-16D_V2_002012_20260728,B12
ZSTD_L05_P2,5,2,97.38,55.84,3.266,0.906,S2-16D_V2_002012_20260728,B12
ZSTD_L07_P2,7,2,97.07,55.98,4.208,0.89,S2-16D_V2_002012_20260728,B12
ZSTD_L09_P2,9,2,96.98,56.02,5.669,0.874,S2-16D_V2_002012_20260728,B12
ZSTD_L11_P2,11,2,96.96,56.03,8.654,2.55,S2-16D_V2_002012_20260728,B12
ZSTD_L13_P2,13,2,96.96,56.03,31.626,0.904,S2-16D_V2_002012_20260728,B12
ZSTD_L15_P2,15,2,96.96,56.03,28.986,1.51,S2-16D_V2_002012_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,0.413,S2-16D_V2_002011_20260728,B03
ZSTD_L01_P2,1,2,49.4,77.6,0.461,0.587,S2-16D_V2_002011_20260728,B03
ZSTD_L03_P2,3,2,47.45,78.48,1.262,0.596,S2-16D_V2_002011_20260728,B03
ZSTD_L05_P2,5,2,46.85,78.75,1.703,0.677,S2-16D_V2_002011_20260728,B03
ZSTD_L07_P2,7,2,46.85,78.76,1.927,0.669,S2-16D_V2_002011_20260728,B03
ZSTD_L09_P2,9,2,46.84,78.76,2.466,0.651,S2-16D_V2_002011_20260728,B03
ZSTD_L11_P2,11,2,46.84,78.76,3.89,0.692,S2-16D_V2_002011_20260728,B03
ZSTD_L13_P2,13,2,46.83,78.76,6.496,0.654,S2-16D_V2_002011_20260728,B03
ZSTD_L15_P2,15,2,46.83,78.76,18.039,3.626,S2-16D_V2_002011_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,0.895,S2-16D_V2_001014_20260728,B07
ZSTD_L01_P2,1,2,35.01,84.12,0.399,0.565,S2-16D_V2_001014_20260728,B07
ZSTD_L03_P2,3,2,34.93,84.16,0.706,0.485,S2-16D_V2_001014_20260728,B07
ZSTD_L05_P2,5,2,34.57,84.32,1.105,0.596,S2-16D_V2_001014_20260728,B07
ZSTD_L07_P2,7,2,34.56,84.33,1.251,0.585,S2-16D_V2_001014_20260728,B07
ZSTD_L09_P2,9,2,34.55,84.33,1.586,0.536,S2-16D_V2_001014_20260728,B07
ZSTD_L11_P2,11,2,34.55,84.33,2.557,0.622,S2-16D_V2_001014_20260728,B07
ZSTD_L13_P2,13,2,34.43,84.39,4.638,0.639,S2-16D_V2_001014_20260728,B07
