Algoritmo,ZLevel,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
DEFLATE_L9_P2,9,2,21.12,90.42,19.913,0.761,S2-16D_V2_002011_20260728,B01
RAW_SemComp,0,0,220.51,0.0,0.0,0.413,S2-16D_V2_002011_20260728,B12
DEFLATE_L1_P2,1,2,43.13,80.44,1.405,0.812,S2-16D_V2_002011_20260728,B12
DEFLATE_L2_P2,2,2,43.22,80.4,1.773,0.767,S2-16D_V2_002011_20260728,B12
DEFLATE_L3_P2,3,2,43.23,80.39,1.835,0.755,S2-16D_V2_002011_20260728,B12
DEFLATE_L5_P2,5,2,43.64,80.21,2.218,0.752,S2-16D_V2_002011_20260728,B12
DEFLATE_L6_P2,6,2,43.63,80.21,2.362,0.78,S2-16D_V2_002011_20260728,B12
DEFLATE_L7_P2,7,2,43.57,80.24,2.849,0.775,S2-16D_V2_002011_20260728,B12
DEFLATE_L8_P2,8,2,43.57,80.24,2.873,0.808,S2-16D_V2_002011_20260728,B12
DEFLATE_L9_P2,9,2,42.19,80.87,9.851,0.753,S2-16D_V2_002011_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,0.368,S2-16D_V2_002012_20260728,B02
DEFLATE_L1_P2,1,2,103.27,53.17,2.058,1.037,S2-16D_V2_002012_20260728,B02
DEFLATE_L2_P2,2,2,103.71,52.97,3.012,1.088,S2-16D_V2_002012_20260728,B02
DEFLATE_L3_P2,3,2,103.68,52.98,3.398,1.085,S2-16D_V2_002012_20260728,B02
DEFLATE_L5_P2,5,2,104.73,52.51,4.605,1.009,S2-16D_V2_002012_20260728,B02
DEFLATE_L6_P2,6,2,104.73,52.51,4.549,1.014,S2-16D_V2_002012_20260728,B02
DEFLATE_L7_P2,7,2,104.69,52.53,5.615,1.063,S2-16D_V2_002012_20260728,B02
DEFLATE_L8_P2,8,2,104.69,52.53,5.564,1.002,S2-16D_V2_002012_20260728,B02
DEFLATE_L9_P2,9,2,101.89,53.8,15.879,1.062,S2-16D_V2_002012_20260728,B02
RAW_SemComp,0,0,220.51,0.0,0.0,0.343,S2-16D_V2_001014_20260728,NDVI
DEFLATE_L1_P2,1,2,36.36,83.51,1.289,0.664,S2-16D_V2_001014_20260728,NDVI
