Algoritmo,Level,Predictor,Tamanho_Final_MB,Taxa_Compressao (%),Tempo_Compressao_segundos,Tempo_Leitura_segundos,Cena,Banda
COG_DEFLATE_L9_P2,9,2,46.48,78.92,9.022,2.464,S2-16D_V2_001014_20260728,B06
RAW_SemComp,0,0,220.51,0.0,0.0,0.442,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L1_P2,1,2,134.91,38.82,2.985,1.005,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L2_P2,2,2,135.14,38.72,3.4,0.867,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L3_P2,3,2,135.03,38.77,3.393,1.001,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L5_P2,5,2,136.94,37.9,4.21,1.873,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L6_P2,6,2,136.88,37.93,5.644,2.779,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L7_P2,7,2,136.82,37.96,6.406,2.305,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L8_P2,8,2,136.82,37.96,7.288,3.008,S2-16D_V2_002012_20260728,B12
COG_DEFLATE_L9_P2,9,2,132.61,39.86,13.815,4.009,S2-16D_V2_002012_20260728,B12
RAW_SemComp,0,0,220.51,0.0,0.0,2.584,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L1_P2,1,2,64.5,70.75,3.917,3.076,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L2_P2,2,2,66.33,69.92,7.427,3.78,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L3_P2,3,2,66.34,69.92,7.609,3.499,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L5_P2,5,2,66.1,70.03,4.623,0.76,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L6_P2,6,2,66.1,70.03,1.807,0.731,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L7_P2,7,2,66.07,70.04,2.106,0.822,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L8_P2,8,2,66.07,70.04,2.754,1.614,S2-16D_V2_002011_20260728,B03
COG_DEFLATE_L9_P2,9,2,64.63,70.69,9.299,1.503,S2-16D_V2_002011_20260728,B03
RAW_SemComp,0,0,220.51,0.0,0.0,1.594,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L1_P2,1,2,47.21,78.59,2.883,1.752,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L2_P2,2,2,48.6,77.96,5.569,3.198,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L3_P2,3,2,48.6,77.96,5.013,3.67,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L5_P2,5,2,48.81,77.86,4.717,2.75,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L6_P2,6,2,48.81,77.86,2.169,0.855,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L7_P2,7,2,48.79,77.87,3.233,1.168,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L8_P2,8,2,48.79,77.87,3.636,1.089,S2-16D_V2_001014_20260728,B07
COG_DEFLATE_L9_P2,9,2,47.68,78.38,7.723,0.796,S2-16D_V2_001014_20260728,B07
RAW_SemComp,0,0,220.51,0.0,0.0,1.436,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L1_P2,1,2,47.32,78.54,5.672,1.718,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L2_P2,2,2,48.69,77.92,2.522,0.901,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L3_P2,3,2,48.69,77.92,3.456,2.226,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L5_P2,5,2,48.9,77.83,4.193,2.085,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L6_P2,6,2,48.9,77.83,2.519,1.009,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L7_P2,7,2,48.88,77.83,4.007,2.317,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L8_P2,8,2,48.88,77.83,6.358,4.695,S2-16D_V2_001014_20260728,B8A
COG_DEFLATE_L9_P2,9,2,47.79,78.33,9.706,4.183,S2-16D_V2_001014_20260728,B8A
RAW_SemComp,0,0,220.51,0.0,0.0,0.931,S2-16D_V2_002011_20260728,B08
COG_DEFLATE_L1_P2,1,2,74.94,66.01,2.257,1.82,S2-16D_V2_002011_20260728,B08
COG_DEFLATE_L2_P2,2,2,76.78,65.18,3.622,1.985,S2-16D_V2_002011_20260728,B08
COG_DEFLATE_L3_P2,3,2,76.78,65.18,6.288,3.403,S2-16D_V2_002011_20260728,B08
COG_DEFLATE_L5_P2,5,2,77.2,64.99,7.632,1.984,S2-16D_V2_002011_20260728,B08
COG_DEFLATE_L6_P2,6,2,77.2,64.99,4.3,4.081,S2-16D_V2_002011_20260728,B08
